Entity,System,Degree Centrality,In-Degree,Out-Degree,Betweenness,Total Connections
Company,legacy,0.5,0.30000000000000004,0.2,0.03888888888888889,5
Person,legacy,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.08333333333333334,6
Address,legacy,0.2,0.2,0.0,0.0,2
Case,legacy,0.4,0.1,0.30000000000000004,0.03888888888888889,4
Communication,legacy,0.2,0.0,0.2,0.0,2
Opportunity,legacy,0.30000000000000004,0.0,0.30000000000000004,0.0,3
SocialNetwork,legacy,0.1,0.0,0.1,0.0,1
contacts,hubspot,0.30000000000000004,0.2,0.1,0.011111111111111112,3
companies,hubspot,0.4,0.4,0.0,0.0,4
deals,hubspot,0.4,0.30000000000000004,0.1,0.011111111111111112,4
engagements,hubspot,0.4,0.1,0.30000000000000004,0.02777777777777778,4
